branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,ref-cycles,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,branch-load-misses,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,label
16625,2288,9807,27297,36178,326030,75136,1225625,3190,19783,12413,0,0,0,0,0,0,0,0,0,1
16626,2161,9016,24107,34517,329216,74690,1126875,3177,19865,12472,0,0,0,0,0,0,0,0,0,1
17815,2462,7354,29047,37204,399564,81308,919000,3376,21894,13512,0,0,0,0,0,0,0,0,0,1
21975,2769,11255,30502,41415,374265,96959,1406875,4209,25988,15668,25390,0,0,0,0,0,0,0,0,1
17270,2246,8559,26122,36484,330150,78538,1069875,3542,21078,13009,0,0,0,0,0,0,0,0,0,1
32258,3299,11500,28574,50152,477918,164928,1437875,5222,45073,27210,0,0,0,0,0,0,0,0,0,1
3000252,24406,64987,111525,352782,8970122,10965516,8122875,65826,2093794,824498,0,0,0,0,0,0,0,0,0,1
51436,7397,30084,96567,126003,1063786,261352,3760250,10603,70125,43684,78184,0,0,0,0,0,0,0,0,1
17479,2418,9881,25714,37560,328633,79892,1235375,3426,21255,13166,0,0,0,0,0,0,0,0,0,1
16294,2220,9334,26093,35703,310402,72909,1166875,3233,19332,12107,0,0,0,0,0,0,0,0,0,1
51975,5751,24502,63469,93826,814870,255349,3063250,9980,69344,42349,0,0,0,0,0,0,0,0,0,1
118989,14823,64849,204418,261513,2183940,569235,8106250,20657,152352,94810,82512,0,0,0,0,0,0,0,0,1
16419,2302,8367,28408,34831,339530,73811,1046000,3156,19452,12188,0,0,0,0,0,0,0,0,0,1
172472,24214,91343,232187,413007,3037621,879241,11417500,33453,232729,150226,0,0,0,0,0,0,0,0,0,1
16398,2215,9302,25831,34895,309301,73720,1162625,3140,19432,12181,0,0,0,0,0,0,0,0,0,1
16277,2091,7130,23755,34129,381246,72857,890875,3263,19326,12089,0,0,0,0,0,0,0,0,0,1
16404,2103,6558,24665,35389,402135,73739,819750,3329,19434,12176,0,0,0,0,0,0,0,0,0,1
35510,4372,18264,52062,70981,607507,149738,2283500,6020,39961,24953,37742,0,0,0,0,0,0,0,0,1
80620,10325,42945,135075,174289,1451511,387581,5368250,14169,103319,64374,0,0,0,0,0,0,0,0,0,1
16284,2135,7490,24735,34742,394052,72861,936500,3202,19324,12099,0,0,0,0,0,0,0,0,0,1
16497,2166,9473,28219,35970,315007,74219,1184375,3278,19655,12336,0,0,0,0,0,0,0,0,0,1
