L1-dcache-stores,LLC-loads,dTLB-stores,L1-dcache-load-misses,cache-references,dTLB-store-misses,L1-dcache-loads,L1-icache-load-misses,LLC-stores,branch-instructions,branch-loads,branch-load-misses,branch-misses,cache-misses,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,instructions,Class
4564379,472403,8466405,613789,1140418,20126,6956055,324133,77590,5971218,5971218,263421,230430,278061,54253535,148215,8047931,22115,25303973,0
7699827,401777,6153827,992443,1009327,17200,3951160,367035,79796,5169723,5169723,255704,286565,317908,66370162,179949,7929037,17684,25066050,0
4978976,427301,6242716,636342,1017320,16659,12746342,447527,68816,4782822,4782822,215729,216324,244156,52691382,134435,9171410,22386,37316123,0
15954869,777432,15660286,1853148,1887850,33710,23652401,1182609,141673,13314423,13314423,570815,857932,450557,244682589,346940,22541278,64257,83334138,0
530649181,6174455,520218426,29797244,11479625,755783,675615790,7359543,1020870,503369456,502774849,13798425,13678734,1610324,2584981086,2040418,593545305,685136,2203660352,0
6127600,324935,5866361,612245,1089383,17387,7079937,378036,79366,5327093,5327093,243666,248986,309195,60294579,148813,8579940,18119,27236064,0
8321804,798268,10446195,1392219,971970,19182,3792255,348268,84495,5910899,5910899,276649,274619,317059,64377217,174207,10778131,28905,34185928,0
986596430,8494526,999236944,28371586,979909,16146,11427445,408292,72547,7650270,7650270,232222,234664,282529,63048472,137855,10675979,36620,43670404,0
17696519,1144653,16556045,2021105,1965065,30826,20238648,832081,177445,16060678,16060678,602730,862398,551028,261215715,387914,24315381,89814,87164528,0
4249076,348960,5807671,635397,1274152,28130,25562266,613369,80437,6534012,6534012,274704,290130,344301,72421198,166772,11491335,27527,43044669,0
4861134,329042,5511764,559451,996680,17891,9887235,449757,76433,5906773,5905786,259931,268483,329868,68243260,158904,11870158,28380,37358666,0
6008920,445990,5175622,659891,1312837,19858,7866854,456365,85030,5859576,5859576,276131,278223,322297,66904641,172816,9434866,24023,29799303,0
5881710,392803,6367134,639196,972343,15594,7462000,378877,71078,5555704,5555704,245703,239827,308580,71075813,133817,9653969,17465,37400586,0
16070419,734823,13923536,1844502,2308333,37492,27223590,1171190,135172,13460689,13460689,546201,898357,542396,278050168,386570,20613342,54491,74356415,0
73601247,1018711,102853925,4470440,5915851,118007,57187593,2655174,535885,92996425,92890602,3642806,4644813,493474,561092218,810700,299894828,31877,2160171887,0
4613892,319253,4976990,599465,1227710,20759,5399472,386788,76899,5380564,5380564,257840,259816,282373,61026247,162666,11764951,31467,37004127,0
6166797,384601,4643044,655147,890677,19732,7962479,434296,82273,6230493,6230493,289240,284206,301636,63667306,177834,9287617,22358,29663421,0
7498675,347275,4319880,647846,720207,14085,5824444,217115,76581,5666253,5666253,248891,248692,286023,61143321,145259,9672683,19537,37438361,0
